employee_id,full_name,department,designation,email,location,monthly_salary_inr
E001,Rohit Kumar 1,Data Science,Data Analyst,rohit.kumar1@tcs.com,Hyderabad,66200
E002,Rohit Kumar 2,Sales,Account Manager,rohit.kumar2@tcs.com,Pune,67400
E003,Rohit Kumar 3,HR,HR Executive,rohit.kumar3@tcs.com,Chennai,68600
E004,Rohit Kumar 4,Finance,Finance Manager,rohit.kumar4@tcs.com,Noida,69800
E005,Rohit Kumar 5,Engineering,Senior Engineer,rohit.kumar5@tcs.com,Bengaluru,71000
E006,Rohit Kumar 6,Data Science,Data Analyst,rohit.kumar6@tcs.com,Hyderabad,72200
E007,Rohit Kumar 7,Sales,Account Manager,rohit.kumar7@tcs.com,Pune,73400
E008,Rohit Kumar 8,HR,HR Executive,rohit.kumar8@tcs.com,Chennai,74600
E009,Rohit Kumar 9,Finance,Finance Manager,rohit.kumar9@tcs.com,Noida,75800
E010,Rohit Kumar 10,Engineering,Senior Engineer,rohit.kumar10@tcs.com,Bengaluru,77000
E011,Rohit Kumar 11,Data Science,Data Analyst,rohit.kumar11@tcs.com,Hyderabad,78200
E012,Rohit Kumar 12,Sales,Account Manager,rohit.kumar12@tcs.com,Pune,79400
E013,Rohit Kumar 13,HR,HR Executive,rohit.kumar13@tcs.com,Chennai,80600
E014,Rohit Kumar 14,Finance,Finance Manager,rohit.kumar14@tcs.com,Noida,81800
E015,Rohit Kumar 15,Engineering,Senior Engineer,rohit.kumar15@tcs.com,Bengaluru,83000
E016,Rohit Kumar 16,Data Science,Data Analyst,rohit.kumar16@tcs.com,Hyderabad,84200
E017,Rohit Kumar 17,Sales,Account Manager,rohit.kumar17@tcs.com,Pune,85400
E018,Rohit Kumar 18,HR,HR Executive,rohit.kumar18@tcs.com,Chennai,86600
E019,Rohit Kumar 19,Finance,Finance Manager,rohit.kumar19@tcs.com,Noida,87800
E020,Rohit Kumar 20,Engineering,Senior Engineer,rohit.kumar20@tcs.com,Bengaluru,89000
E021,Rohit Kumar 21,Data Science,Data Analyst,rohit.kumar21@tcs.com,Hyderabad,90200
